Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
Paronychia,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paronychia,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure foot,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure foot,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caries teeth,Presence,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdigital:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdigital:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between folds:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between folds:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratoderma,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratoderma,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickening of skin,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickening of skin,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warty growth,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warty growth,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nodules,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nodules,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scars,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scars,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature on area of the redness,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature on area of the redness,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderness on erythema,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderness on erythema,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical evidence of cellulitis,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical evidence of cellulitis,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmth on limb Sites,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmth on limb Sites,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour of the skin,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour of the skin,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth of hair,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth of hair,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Right?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Left?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intertrigo,Misc,Block,,,,,,"Interdigital:,First:,Second:,Third:,Fourth:,Between folds:",,,,,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-1,Misc,Block,,,,,,"Entry points,Ulcers,Folliculitis,Excoriations,Eczema,Paronychia,Fissure foot,Caries teeth,Intertrigo,Keratoderma",,,,,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-2,Misc,Block,,,,,,"Thickening of skin,Warty growth,Nodules,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin",,,,,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-3,Misc,Block,,,,,,"Growth of hair,Other",,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Fever with chills and rigor,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Nausea and vomiting,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Lymphadenitis,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Warmth,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Erythema,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Tenderness,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Affected limb,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,,,
,3.7 Dermatological Examination,Misc,Block,,,,,,"General Dermatological Exam-1,General Dermatological Exam-2,General Dermatological Exam-3,ADLA",,,,,,,,,,,,,,,,,,,,,,,,,,
3.8 Associated diseases and current medication,Associated complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8 Associated diseases and current medication,Medication,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8 Associated diseases and current medication,Prescribing doctor / health center,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruksha,Comparable biomedical term,Misc,Coded,,,,,,,Xerosis,,,,,,,,,,,,,,,,,,,,,,,,,
Ruksha,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruksha,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahushopha pada,Comparable biomedical term,Misc,Coded,,,,,,,Dependant oedema of foot,,,,,,,,,,,,,,,,,,,,,,,,,
Bahushopha pada,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahushopha pada,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphutana,Comparable biomedical term,Misc,Coded,,,,,,,Fissures,,,,,,,,,,,,,,,,,,,,,,,,,
Sphutana,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphutana,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna,Comparable biomedical term,Misc,Coded,,,,,,,Black pigmentation (Krishna): ,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theevra Thoda or Arti or Animitta rujam,Comparable biomedical term,Misc,Coded,,,,,,,Pricking pain,,,,,,,,,,,,,,,,,,,,,,,,,
Theevra Thoda or Arti or Animitta rujam,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theevra Thoda or Arti or Animitta rujam,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahusho jwara,Comparable biomedical term,Misc,Coded,,,,,,,History of fever,,,,,,,,,,,,,,,,,,,,,,,,,
Bahusho jwara,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahusho jwara,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VATAJA,Misc,Block,,,,,,"Ruksha,Bahushopha pada,Sphutana,Krishna,Theevra Thoda or Arti or Animitta rujam,Bahusho jwara",,,,,,,,,,,,,,,,,,,,,,,,,,
Daha,Comparable biomedical term,Misc,Coded,,,,,,,Burning Sensation,,,,,,,,,,,,,,,,,,,,,,,,,
Daha,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daha,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raktavarna,Comparable biomedical term,Misc,Coded,,,,,,,Redness,,,,,,,,,,,,,,,,,,,,,,,,,
Raktavarna,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raktavarna,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peetha varna,Comparable biomedical term,Misc,Coded,,,,,,,Yellowish Discolouration(peethavarna),,,,,,,,,,,,,,,,,,,,,,,,,
Peetha varna,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peetha varna,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsrava ,Comparable biomedical term,Misc,Coded,,,,,,,Discharge,,,,,,,,,,,,,,,,,,,,,,,,,
Samsrava ,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsrava ,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrudu,Comparable biomedical term,Misc,Coded,,,,,,,Soft,,,,,,,,,,,,,,,,,,,,,,,,,
Mrudu,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrudu,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurutwa,Comparable biomedical term,Misc,Coded,,,,,,,Heaviness,,,,,,,,,,,,,,,,,,,,,,,,,
Gurutwa,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurutwa,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhika shopha,Comparable biomedical term,Misc,Coded,,,,,,,Largely oedematus,,,,,,,,,,,,,,,,,,,,,,,,,
Adhika shopha,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhika shopha,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jwara yukta,Comparable biomedical term,Misc,Coded,,,,,,,Warmth of limb or fever,,,,,,,,,,,,,,,,,,,,,,,,,
Jwara yukta,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jwara yukta,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PITTAJA,Misc,Block,,,,,,"Daha,Raktavarna,Peetha varna,Samsrava,Mrudu,Gurutwa,Adhika shopha,Jwara yukta",,,,,,,,,,,,,,,,,,,,,,,,,,
Oily/Shiny(Snigdha Snigdha varna),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oily/Shiny(Snigdha Snigdha varna),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitish(Shwethabha),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitish(Shwethabha),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organised(Drudham/Sthiram),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organised(Drudham/Sthiram),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Nodules/warty growth(Bahukanatakai parivrtam),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Nodules/warty growth(Bahukanatakai parivrtam),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge in size(Sthoola),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge in size(Sthoola),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeling Of Heaviness(Guru Gurutwamanisham),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeling Of Heaviness(Guru Gurutwamanisham),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold to Touch(Sheethanvitha),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold to Touch(Sheethanvitha),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largely edematous(Adhika shopha),Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largely edematous(Adhika shopha),Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAPHAJA,Misc,Block,,,,,,"Oily/Shiny(Snigdha Snigdha varna),Whitish(Shwethabha),Organised(Drudham/Sthiram),With Nodules/warty growth(Bahukanatakai parivrtam),Huge in size(Sthoola),Feeling Of Heaviness(Guru Gurutwamanisham),Cold to  Touch(Sheethanvitha),Largely edematous(Adhika shopha)",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dominant Dosha(V,P,K,VP,PK,VK,VPK,PV,KP,KV) ",Misc,Coded,,,,,,,VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA,,,,,,,,,,,,,,,,
,Sthaneeya vikruthi - as in Hamsaraj Nidana and Madhava Nidhana - clinical methods,Misc,Block,,,,,,"VATAJA,PITTAJA,KAPHAJA",,,,,,,,,,,,,,,,,,,,,,,,,,
,Prakruthi,Misc,Coded,,,,,,,VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA,,,,,,,,,,,,,,,,
,Sthaneeya Vikruthi,Misc,Coded,,,,,,,VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA,,,,,,,,,,,,,,,,
Selection of phanta for skin care,Churna used,Misc,Coded,,,,,,,Manjista,Sariva,Yastimadhu,Triphala,,,,,,,,,,,,,,,,,,,,,,
Selection of phanta for skin care,Quantity,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selection of oil for IMLD,Misc,Coded,,,,,,,Pinda thaila,Nalpamaradhi thaila,Sarshapa thaila,,,,,,,,,,,,,,,,,,,,,,,
,Any deviations from routine treatments with reasons,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ekanga Swedana (with comments),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug used in swedana and quantity,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ingredient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any other specific treatments?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activities for Ayurvedic consultant,Misc,Block,,,,,,"Prakruthi,Sthaneeya Vikruthi,Selection of phanta for skin care,Selection of oil for IMLD,Any deviations from routine treatments with reasons,Ekanga Swedana (with comments),Drug used in swedana and quantity,Ingredient,Any other specific treatments?",,,,,,,,,,,,,,,,,,,,,,,,,,
,Medical Team,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9 Vikriti Pareeksha,Misc,Block,,,,,,"Sthaneeya vikruthi - as in Hamsaraj Nidana and Madhava Nidhana - clinical method,Activities for Ayurvedic consultant,Medical Team",,,,,,,,,,,,,,,,,,,,,,,,,,
